number,borders,address,july,august,sept,links,rajon,country,difference
800351,"м.Київ – бульв.Перова: 9–9А, 11–11В, 13–13/2, 15–15В; вул.Райдужна: 35–37;","вул.Райдужна, 53, м.Київ, 02218 (спеціалізована школа №265, коридор, 1-й поверх)",1326,2371,2369,!cm_core.cm_index?option=ext_dvk&pid100=80&pf5242=800351&prejim=1,м.Київ,,78.657616892911
800352,"м.Київ – бульв.Перова: 9Б–9В; вул.Райдужна: 55–57, 59; вул.Старосільська: 26–52А;","вул.Райдужна, 53, м.Київ, 02218 (спеціалізована школа №265, коридор, 1-й поверх)",2318,1766,1762,!cm_core.cm_index?option=ext_dvk&pid100=80&pf5242=800352&prejim=1,м.Київ,,-23.9861949956859
800355,м.Київ – бульв.Перова: 48–48Б; вул.Миколи Кибальчича: 3А–3Б;,"вул.Миколи Кибальчича, 5, м.Київ, 02183 (школа №224, хол, права сторона, 1-й поверх)",2039,2259,2251,!cm_core.cm_index?option=ext_dvk&pid100=80&pf5242=800355&prejim=1,м.Київ,,10.3972535556645
800356,"м.Київ – бульв.Перова: 50–56; просп.Романа Шухевича: 24, 26;","вул.Миколи Кибальчича, 5, м.Київ, 02183 (школа №224, хол, ліва сторона, 1-й поверх)",2077,2373,2363,!cm_core.cm_index?option=ext_dvk&pid100=80&pf5242=800356&prejim=1,м.Київ,,13.7698603755417
800357,"м.Київ – просп.Романа Шухевича: 22–22А, 24А;","вул.Миколи Кибальчича, 5, м.Київ, 02183 (школа №224, актова зала, 2-й поверх)",1764,1234,1226,!cm_core.cm_index?option=ext_dvk&pid100=80&pf5242=800357&prejim=1,м.Київ,,-30.4988662131519
800358,"м.Київ – вул.Миколи Кибальчича: 19; просп.Романа Шухевича: 28А, 30А;","вул.Миколи Кибальчича, 13Б, м.Київ, 02183 (ЖЕД-409, актова зала, 2-й поверх)",2135,1048,1042,!cm_core.cm_index?option=ext_dvk&pid100=80&pf5242=800358&prejim=1,м.Київ,,-51.1943793911007
800359,"м.Київ – вул.Миколи Кибальчича: 15–15А, 21; просп.Романа Шухевича: 26В, 30;","вул.Миколи Кибальчича, 7, м.Київ, 02183 (спеціалізована школа №246, вестибюль, права сторона, 1-й поверх)",1451,2216,2205,!cm_core.cm_index?option=ext_dvk&pid100=80&pf5242=800359&prejim=1,м.Київ,,51.9641626464507
800360,"м.Київ – вул.Миколи Кибальчича: 5А–5Б, 7А–7Б, 9; просп.Романа Шухевича: 24Б–24В, 26Б;","вул.Миколи Кибальчича, 7, м.Київ, 02183 (спеціалізована школа №246, вестибюль, ліва сторона, 1-й поверх)",2115,2450,2452,!cm_core.cm_index?option=ext_dvk&pid100=80&pf5242=800360&prejim=1,м.Київ,,15.9338061465721
800363,"м.Київ – вул.Братиславська: 13, 15; вул.Генерала Карбишева: 8–8А, 14–22;","вул.Едуарда Вільде, 5, м.Київ, 02139 (школа №184, коридор, 1-й поверх)",1430,2430,2436,!cm_core.cm_index?option=ext_dvk&pid100=80&pf5242=800363&prejim=1,м.Київ,,70.3496503496503
800364,"м.Київ – вул.Едуарда Вільде, вул.Курнатовського: 22–32А;","вул.Едуарда Вільде, 5, м.Київ, 02139 (школа №184, їдальня, 1-й поверх)",1786,2129,2116,!cm_core.cm_index?option=ext_dvk&pid100=80&pf5242=800364&prejim=1,м.Київ,,18.4770436730123
800365,"м.Київ – вул.Генерала Карбишева: 1/29–3, 10–12; вул.Івана Микитенка: 21–27;","вул.Едуарда Вільде, 5, м.Київ, 02139 (школа №184, спортивна зала, 2-й поверх)",2279,1322,1346,!cm_core.cm_index?option=ext_dvk&pid100=80&pf5242=800365&prejim=1,м.Київ,,-40.9390083369899
800366,"м.Київ – вул.Курнатовського: 4–4А, 6; вул.Сулеймана Стальського: 24Б–28;","вул.Сулеймана Стальського, 26А, м.Київ, 02139 (школа №4, вестибюль, 1-й поверх)",1794,2279,2286,!cm_core.cm_index?option=ext_dvk&pid100=80&pf5242=800366&prejim=1,м.Київ,,27.4247491638796
800367,м.Київ – вул.Курнатовського: 6А–6Б; вул.Сулеймана Стальського: 28А–32;,"вул.Сулеймана Стальського, 26А, м.Київ, 02139 (школа №4, актова зала, 2-й поверх)",1988,1658,1656,!cm_core.cm_index?option=ext_dvk&pid100=80&pf5242=800367&prejim=1,м.Київ,,-16.7002012072435
800368,"м.Київ – вул.Курнатовського: 2–3, 4Б–5;","вул.Сулеймана Стальського, 26А, м.Київ, 02139 (школа №4, вестибюль, 2-й поверх)",2313,1782,1794,!cm_core.cm_index?option=ext_dvk&pid100=80&pf5242=800368&prejim=1,м.Київ,,-22.4383916990921
