position,name,week_start,person_type
3,Джо Байден,2023-01-23,enemy
4,Дмитро Пєсков,2023-01-23,russian
5,Олаф Шольц,2023-01-23,enemy
6,Сергій Лавров,2023-01-23,russian
7,Марія Захарова,2023-01-23,russian
8,Дмитро Медведєв,2023-01-23,russian
9,Володимир Рогов,2023-01-23,russian
10,Дональд Трамп,2023-01-23,friend
1,Володимир Путін,2023-01-30,russian
2,Володимир Зеленський,2023-01-30,enemy
3,Джо Байден,2023-01-30,enemy
4,Дмитро Пєсков,2023-01-30,russian
5,Сергій Лавров,2023-01-30,russian
6,Олаф Шольц,2023-01-30,enemy
7,Марія Захарова,2023-01-30,russian
8,Емманюель Макрон,2023-01-30,enemy
9,Денис Пушилін,2023-01-30,russian
10,Реджеп Ердоган,2023-01-30,friend
1,Володимир Зеленський,2023-02-06,enemy
2,Володимир Путін,2023-02-06,russian
3,Джо Байден,2023-02-06,enemy
4,Олаф Шольц,2023-02-06,enemy
5,Ріші Сунак,2023-02-06,enemy
6,Дмитро Пєсков,2023-02-06,russian
7,Сергій Лавров,2023-02-06,russian
8,Марія Захарова,2023-02-06,russian
9,Емманюель Макрон,2023-02-06,enemy
10,Сеймур Херш,2023-02-06,friend
1,Володимир Путін,2023-02-13,russian
2,Володимир Зеленський,2023-02-13,enemy
3,Джо Байден,2023-02-13,enemy
4,Дмитро Пєсков,2023-02-13,russian
5,Сеймур Херш,2023-02-13,friend
6,Єнс Столтенберг,2023-02-13,enemy
7,Ентоні Блінкен,2023-02-13,enemy
8,Марія Захарова,2023-02-13,russian
9,Олаф Шольц,2023-02-13,enemy
10,Олександр Лукашенко,2023-02-13,friend
1,Володимир Путін,2023-02-20,russian
2,Джо Байден,2023-02-20,enemy
3,Володимир Зеленський,2023-02-20,enemy
4,Єнс Столтенберг,2023-02-20,enemy
5,Ентоні Блінкен,2023-02-20,enemy
6,Дмитро Пєсков,2023-02-20,russian
7,Ван Ї,2023-02-20,friend
8,Сергій Лавров,2023-02-20,russian
9,Ігор Конашенков,2023-02-20,russian
10,Марія Захарова,2023-02-20,russian
1,Володимир Путін,2023-02-27,russian
2,Володимир Зеленський,2023-02-27,enemy
3,Джо Байден,2023-02-27,enemy
4,Дмитро Пєсков,2023-02-27,russian
5,Сергій Лавров,2023-02-27,russian
6,Олаф Шольц,2023-02-27,enemy
7,Ентоні Блінкен,2023-02-27,enemy
8,Марія Захарова,2023-02-27,russian
9,Александр Богомаз,2023-02-27,russian
10,Олександр Лукашенко,2023-02-27,friend
1,Володимир Зеленський,2023-03-06,enemy
2,Володимир Путін,2023-03-06,russian
3,Джо Байден,2023-03-06,enemy
4,Дмитро Пєсков,2023-03-06,russian
5,Марія Захарова,2023-03-06,russian
6,Емманюель Макрон,2023-03-06,enemy
7,Олаф Шольц,2023-03-06,enemy
8,Реджеп Ердоган,2023-03-06,friend
9,Сергій Лавров,2023-03-06,russian
10,Олександр Лукашенко,2023-03-06,friend
1,Володимир Путін,2023-03-13,russian
2,Володимир Зеленський,2023-03-13,enemy
3,Джо Байден,2023-03-13,enemy
4,Дмитро Пєсков,2023-03-13,russian
5,Марія Захарова,2023-03-13,russian
6,Сі Цзіньпін,2023-03-13,friend
7,Сергій Шойгу,2023-03-13,russian
8,Дональд Трамп,2023-03-13,friend
9,Андрій Марочко,2023-03-13,russian
10,Реджеп Ердоган,2023-03-13,friend
1,Володимир Путін,2023-03-20,russian
2,Володимир Зеленський,2023-03-20,enemy
3,Сі Цзіньпін,2023-03-20,friend
4,Джо Байден,2023-03-20,enemy
5,Дмитро Медведєв,2023-03-20,russian
6,Дмитро Пєсков,2023-03-20,russian
7,Михайло Мішустін,2023-03-20,russian
8,Марія Захарова,2023-03-20,russian
9,Сергій Шойгу,2023-03-20,russian
10,Реджеп Ердоган,2023-03-20,friend
