"Rank","Artist","URL","freq"
68,"YARMAK","https://www.youtube.com/watch?v=hhq9HEdu99o",8
84,"Tina Karol","https://www.youtube.com/watch?v=uUYNCeYOqus",17
92,"Vremya i Steklo","https://www.youtube.com/watch?v=q0rflM0rQTI",31
6,"Oleh Kenzov","https://www.youtube.com/watch?v=zt-RliDPEg8",54
23,"NK","https://www.youtube.com/watch?v=17i3bKKI4M0",37
31,"Oleh Kenzov","https://www.youtube.com/watch?v=YkItnbwx1eo",54
40,"Olya Polyakova","https://www.youtube.com/watch?v=ohmiaCSRtO8",37
42,"Dzidzio","https://www.youtube.com/watch?v=Lir16UZJMrc",22
51,"MONATIK","https://www.youtube.com/watch?v=i6VUQoen_GA",52
52,"Artik & Asti","https://www.youtube.com/watch?v=TmDVfe8XJ00",90
97,"Vremya i Steklo","https://www.youtube.com/watch?v=q0rflM0rQTI",31
3,"Artik & Asti","https://www.youtube.com/watch?v=Jb1_hbjD8tQ",90
17,"Max Barskih","https://www.youtube.com/watch?v=llkdF0HH0HA",37
22,"NK","https://www.youtube.com/watch?v=hirjvX-dOEU",37
23,"Artik & Asti","https://www.youtube.com/watch?v=ptx7sPY0EeA",90
30,"NK","https://www.youtube.com/watch?v=17i3bKKI4M0",37
31,"Dzidzio","https://www.youtube.com/watch?v=Lir16UZJMrc",22
43,"Oleg Vinnik","https://www.youtube.com/watch?v=IFImrmb9MwU",5
53,"Artik & Asti","https://www.youtube.com/watch?v=TmDVfe8XJ00",90
64,"KYIVSTONER","https://www.youtube.com/watch?v=PlaWq8QtG8I",1
69,"Misha Marvin","https://www.youtube.com/watch?v=AkyihqEgKPc",37
72,"Jerry Heil","https://www.youtube.com/watch?v=jMalTbwwKXk",8
92,"Max Barskih","https://www.youtube.com/watch?v=buQkpHOAsDk",37
27,"Artik & Asti","https://www.youtube.com/watch?v=ptx7sPY0EeA",90
28,"NK","https://www.youtube.com/watch?v=17i3bKKI4M0",37
34,"Max Barskih","https://www.youtube.com/watch?v=llkdF0HH0HA",37
46,"YARMAK","https://www.youtube.com/watch?v=9RlopBXblbQ",8
51,"Artik & Asti","https://www.youtube.com/watch?v=TmDVfe8XJ00",90
52,"MONATIK","https://www.youtube.com/watch?v=i6VUQoen_GA",52
80,"NK","https://www.youtube.com/watch?v=hirjvX-dOEU",37
89,"Jerry Heil","https://www.youtube.com/watch?v=jMalTbwwKXk",8
95,"Misha Marvin","https://www.youtube.com/watch?v=AkyihqEgKPc",37
96,"Vremya i Steklo","https://www.youtube.com/watch?v=q0rflM0rQTI",31
4,"Artik & Asti","https://www.youtube.com/watch?v=Jb1_hbjD8tQ",90
9,"Oleh Kenzov","https://www.youtube.com/watch?v=zt-RliDPEg8",54
25,"Oleh Kenzov","https://www.youtube.com/watch?v=YkItnbwx1eo",54
26,"Artik & Asti","https://www.youtube.com/watch?v=ptx7sPY0EeA",90
29,"NK","https://www.youtube.com/watch?v=17i3bKKI4M0",37
32,"Max Barskih","https://www.youtube.com/watch?v=llkdF0HH0HA",37
47,"Artik & Asti","https://www.youtube.com/watch?v=TmDVfe8XJ00",90
49,"MONATIK","https://www.youtube.com/watch?v=i6VUQoen_GA",52
68,"Ani Lorak","https://www.youtube.com/watch?v=bBewwoYoEHo",12
94,"Vremya i Steklo","https://www.youtube.com/watch?v=q0rflM0rQTI",31
99,"Jerry Heil","https://www.youtube.com/watch?v=jMalTbwwKXk",8
11,"Oleh Kenzov","https://www.youtube.com/watch?v=zt-RliDPEg8",54
17,"Oleh Kenzov","https://www.youtube.com/watch?v=YkItnbwx1eo",54
29,"Artik & Asti","https://www.youtube.com/watch?v=ptx7sPY0EeA",90
35,"NK","https://www.youtube.com/watch?v=17i3bKKI4M0",37
45,"Misha Marvin","https://www.youtube.com/watch?v=IYbvwzJMjw4",37
50,"MONATIK","https://www.youtube.com/watch?v=i6VUQoen_GA",52
55,"MONATIK","https://www.youtube.com/watch?v=X7Y0Ssx7TI4",52
78,"Maruv","https://www.youtube.com/watch?v=sglYYDKXE_Q",8
86,"Open Kids","https://www.youtube.com/watch?v=rv9YXcl5ef4",2
87,"Vremya i Steklo","https://www.youtube.com/watch?v=q0rflM0rQTI",31
3,"MONATIK","https://www.youtube.com/watch?v=X7Y0Ssx7TI4",52
10,"Artik & Asti","https://www.youtube.com/watch?v=Jb1_hbjD8tQ",90
15,"Oleh Kenzov","https://www.youtube.com/watch?v=zt-RliDPEg8",54
20,"Misha Marvin","https://www.youtube.com/watch?v=IYbvwzJMjw4",37
23,"Oleh Kenzov","https://www.youtube.com/watch?v=YkItnbwx1eo",54
40,"Artik & Asti","https://www.youtube.com/watch?v=ptx7sPY0EeA",90
41,"NK","https://www.youtube.com/watch?v=17i3bKKI4M0",37
46,"Max Barskih","https://www.youtube.com/watch?v=llkdF0HH0HA",37
53,"MONATIK","https://www.youtube.com/watch?v=i6VUQoen_GA",52
62,"Maruv","https://www.youtube.com/watch?v=sglYYDKXE_Q",8
73,"Artik & Asti","https://www.youtube.com/watch?v=TmDVfe8XJ00",90
80,"Without Limits","https://www.youtube.com/watch?v=Xcuv80kxJLE",5
89,"Vremya i Steklo","https://www.youtube.com/watch?v=q0rflM0rQTI",31
4,"MONATIK","https://www.youtube.com/watch?v=X7Y0Ssx7TI4",52
